0, i bought this hoping to use as intended angled into guitar & straight into mixer wrong have to use it the other way around  sad overall,  awful,1
1, don't buy this chinese piece of crap if you really need a three guitar stand it is barely workable for twoit is easy to set up but the way the neck brackets are arranged you are only going to get two guitars comfortably on it and even then guitars can still slip off the stand even when you tighten the little rubber thingies on top to hold the neck in place and you absolutely  have to keep that tight or your guitar will at some point turn sideways and fall to the floorgroundthe best thing these stands are built for are v type guitars such as my jackson rhoads as long as you can put them back to back for les paul and strat type axes their rounded lower bout curvatures make them prone to slipping on the narrow stick like feet of the stand especially when they are new you can't tilt the feet up to try to lend more stability to the way the guitars hang because the feet won't support enough weight to make that possible so this thing utterly fails in its designation as a three guitar stand if you just gotta buy something from on stage get the double hang because there is more separation between instruments and so it ends up being better balanced but really you should just pass entirely on either the triple hang or the double hang this is definitely a case of one gets what one pays for overall, a complete joke ,1
2, this product is bad quality because the noise it makes it increases the volume so much that it is better not to use it at all i'm going to sell this product i didn't like it overall, a lot a noise when using rate different from 50 ,1
3, these types of pedals are toys they are a cheap way for a beginner to have effects to play with by all means if you are buying it for your kid who just started playing if not i recommend slowly building your pedal collection and use the money to get 1 decent pedal whether it is a delay or distortion overall, a toy ,1
4, i bought this pedal as a companion to my roland ac33 acoustic amp  the pedal on its face looks like a good piece of equipment and feels quite sturdy  however you do have to use a 9 volt batter to make it operate  this is totally unnecessary for a footswitch  the worst part is the leads on the battery connector 9 volt were not properly soldered or had shorted out  the only way i could get it to function was to let the 9volt battery dangle just right and connection would be made  for the rather high asking price and the limited function that is needed ie all that has to work are two switches and a battery you would think that boss would put out a better product  i also found that the battery cover was extremely cheap and was difficult to close leading me to believe that the durability of the cover was in question  i would highly recommend that you look to another maker for a switch or consider constructing one yourself with readily available parts that can be purchased on this site overall, absolute junk ,1
5, well this cable certainly didn't last long as the title says 8 weeks  bought a new fender mustang2 v2 amp a week and a half ago  last night amp would turn on but wasn't putting out any sound from the guitar messed around a bit and it started to work  today same thing and it's obvious nothing is going from guitar to amp  thought i had a bad jack in my new amp and wasn't very happy  got out the old amp and guess what nothing there either  at least my new amp is working and i only have to replace a 12 cord maybe i'm just unlucky and got a bad one and if i bought it at a local store i'd return it  not going through the hassles of mailing it back or asking for a refund  will just move on to another company's cord overall, after 8 weeks the cable quit working ,1
6, garbage if you like it then buy it this is not how the world of music sounds too much bass and other garbage are you guys really hearing anything ?world has gone bass crazy since about 1981more and more we lost analog we lost quality thanks to compression and mp3 and now to put more crap into our ears they give you onefrequencybass only  take it or leave it will go find real headphones thanks overall, almost zero stars bass crazy world ,1
7, i got a couple of these only buy this cable if there is no chance that it will be ever used in the real world after only a month mine has developed a nasty short in the plug and of course  since this cord is molded sealed up tight  it can't be repaired you could cut off the plug and solder a good 14 inch plug on it but why bother? Just save your headaches and money and buy a good heavy duty cord this cord is too flimsy its junk with a fancy molded plastic ergonomic looking plug  housing but inside its junk thrown away money buy a lottery scratch off instead overall, avoid avoid ,1
8, i've used three pop filters in my experiences with home recording and podcasting  this one is the worst  the plastic screw yes plastic that is meant to grip the pole that you attach the pop filter to is completely incapable of supporting it's own weight at nearly any angle  bad just bad secondly there is a metal piece that secures the flex arm to the clamp  it seemed loose after i got it out of the packaging and the flex arm would wobble and rotate in that spot causing a major problem when it came to proper placement  after twisting on it twice i stripped it out  now the thing is worthless  i'm returning it asapi would rather go to a lady's bag flea market sale with a crazy woman for a day than continue to put up with this thing  do yourself a huge favor and buy the nady 6 pop filter  if you don't you'll wish you did overall, avoid this one like your motherinlaw ,1
9, i have three mic stands with this one being the fourth i still have three mic stands because this one was absolutely horrible1 the top mount would rarely stay fixed and kept dipping down2 the bottom clamp never did secure properly it kept opening up even without a mic on it the weight of the stand itself stripped iti sent it back without hesitation overall, awful ,1
10, i used to buy a lot of wire form these guys however you need to be careful and test everything you get from them on an xlr cable testeri didn't believe it myself read another reviewer had an issue with xlr cables being wired incorrectly from pin to pin so i took my handy cable tester and went through about a dozen cablesi got through only 4 monoprice cables before i found one that was miss wired now i will be checking all of them for sure not a good start though glad the other reviewer made that discovery and passed it oni suggest everyone check their monorpice cables the testers are very cheap and may show problems you weren't aware of overall, be careful with these ,1
11, here's the deal with this pedal it is inexpensive and you can get a better pedal with barely a bit more money and sometimes a little less money in my opinion for spending less than 100 for a distortion pedal whether it is your first pedal or 700th pedal a few more bucks will get you the mxr badass distortion which has a much crisper tone to it overall, beginners beware ,1
12, the cables are great for the price cant go wrong i have not used them for a long time but so far no problems i ordered 6 more cables don't buy this cables they keep failing cheap material with what i spent on them you could buy a couple decent ones overall, best deal cheap cables ,1
13, i bought this to replace a cord i was using to practice my guitar my first cheap cord wasn't actually broken but i didn't want any down time so i had this just sitting there as a replacement fast forward some time and i just wanted to try it out even though my cheap cord was still working fine i really wanted to just try out the new cordi really wish i had done that in the first 30 days this cord did not work right at all it seems like there is a short in it somewhere i had to unplug plug maneuver into place of course since it is for guitar it falls almost immediately out of place again so i am back to the cheap cord that hasn't failed unlike this brand new bad cable overall, broke almost immediately,1
14, there is a problem with the design  when you move the head the 3 little plastic pieces that hold the ball that allows you to rotate the head just break off  the tuner itself is great but the product fails because it broke in 5 minutes overall, broke ,1
15, i ordered 1 just to try it since it was so cheap the first one arrived in non working condition wires inside weren't even soldered so i ordered a replacement plugged it in and it didn't work either the second wasn't soldered either know its cheap but i expected it to at least work do not buy overall, broke ,1
16, like the other one star reviewers  my problem is that the head broke off i tried to glue it back on but it just fell apart even worse when i tried to do that if you buy this you really need to baby it my advice is look for a more sturdy model overall, broken head ,1
17, go build your own build it to your specs and have a solid stand if not you can find a lot better head stands this one was a huge disappointment does not do what it says and can get you frustrated quick im back with my wood block and am happy overall,  awful,1
18, i wanted to like this i really did the idea of an amp this portable and cheap just made me think &34;perfect&34; however the unit i received was cr@p and i'm going to assume it was defective and not blanket all the positive reviews with dispersions the one i got kept cutting in and out you might be playing a solo line and you might hear about 75 of the notes or something and when holding a chord the sustained sound would cut out after a few seconds frustrating did weigh whether or not to try a replacement unit the soso sound and overall quality however didn't compel me to give it another go bummer any suggestions for an amp of similar size and portability? Cheers overall, bummer ,1
19, not very bright not very flexible too big clunky i really don't like it i wish i had went in a different direction overall, bummer ,1
20, doano good out of the boxplug it nothingno way to send it back i`m not from the statesmeaningi just wasted away 40 something bucks add shippingi did bought a behringer pedal before tremolopan with good results but i guess there`s two sides to this particular low economy pedalswell i`ll man up and buy something else overall, busted ,1
21, well it's not really too expensive but it give you basically the same sound no matter how you set it  even the crunch button is just a louder sound?  not a very good value unless you try it out first and this is exactly the sound you're looking for  guess that's why it's so cheap overall, can't dunlop come up with a better descriptive word then b***** ? ,1
22, the small estring and the g string both broke on the ball end while tuning  i haven't broke a string while tuning in 20 years never ever had one break on the ball endluckily i bought the three packbut i can't recommend this product overall, can't recommend this product ,1
23, this product has an extremely flimsy spring mechanism inside  upon receiving mine and assembling it it broke immediately while i was trying to mount an ipad onto it  it also has a fairly narrow angle of adjustability  the metal parts of it seemed sturdy enough but the plastic parts looked and felt brittle overall, very disappointed in built quality ,1
24, ok its cheap you knew that when you bought it i really thought it was going to be more then one since it said assorted and showed a few in the picture it was only one and it was red broke with first use overall, cheap cheap ,1
25, second one i bought lousy build quality and only lasted 3 months went through two of these before i learned my lesson don't waste your money on this junk i love planet waves stuff normally but these are junk overall, cheap piece of crap ,1
26, just use a smartphone to record stuff this is a really weird not very intuitive little device that has been antiquated by the iphone and other smart phones not really worth the 75  i returned mine overall,  awful,1
27, unless you tune to only standard tunings this thing is garbage i tune my hellraiser to d then drop to c and it will not register the needle either flops around constantly or just does not display the proper notes overall, useless for drop tuning ,1
28, disappointing; was looking for to receiving thesebut; mostly they are unplayable leak air badly easier learning bagpipes than these thingssave your money and get some harps that actually workdecent case though overall, useless ,1
29, the cable died on me in less than a month very disappointed in built quality overall, very disappointed in built quality ,1
30, only lasted 2yr  i have a lot of cheaper cables that get more useabuse than this one that have outlasted it overall, very disappointed ,1
